cl	scl	ord	fam	gen	sp	ref	newref	famlab	genlab	splab	cod	dispcat	disp	area	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Unonopsis	stipitata	71	9	ANNONACE	Unonopsi	stipitat	USTI	Mixed		NTAmerica	Drupe2	18	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Uvaria	sp.1	39	3	ANNONACE	Uvaria	sp.1	UVSP	Birds		Australasia	Berry1	18	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Uvaria	sp.2	75	35	ANNONACE	Uvaria	sp.2	UVSP	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.03	0.56	NA	0.15
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Xylopia	longifolia	60	2	ANNONACE	Xylopia	longifol	XLON	Mammals		NTAmerica	Aril	25	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Xylopia	nitida	60	2	ANNONACE	Xylopia	nitida	XNIT	Mammals		NTAmerica	Aril	20	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Magnoliidae	Magnoliales	ANNONACEAE	Xylopia	standtii	40	41	ANNONACE	Xylopia	standtii	XSTA	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	25.29	NA	35	0.37	0.08	0.56	0	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Carissa	bispinosa	36	43	APOCYNAC	Carissa	bispinos	CBIS	Mammals		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	16.2	NA	NA	0.06	0.04	0.79	0.04	0.07
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Dictyophleba	stipulosa	40	41	APOCYNAC	Dictyoph	stipulos	DSTI	Mammals		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	17.17	NA	89	0.03	0.02	0.95	0.01	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Lacmellea	edulis	22	18	APOCYNAC	Lacmelle	edulis	LEDU	Mammals		NTAmerica	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	18.21	NA	67	0.04	0.04	0.93	NA	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Lacmellea	panamensis	3	46	APOCYNAC	Lacmelle	panamens	LPAN	Mammals		NTAmerica	Berry2	NA	NA	3.2	0.89	0.35	NA	NA	27.9	18.42	16.45	67.6	0.08	0.02	0.88	0.02	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Landolphia	buchananii	61	8	APOCYNAC	Landolph	buchanan	LBUC	Mammals		Africa	Berry1	85	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Landolphia	kirkii	36	43	APOCYNAC	Landolph	kirkii	LKIR	Mammals		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	15.86	NA	NA	0.02	0.03	0.87	0.05	0.03
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Ochrosia	ackeringae	73	31	APOCYNAC	Ochrosia	ackering	OACK	Birds		Australasia	Berry2	NA	NA	49.46	NA	NA	5.8	NA	NA	NA	NA	NA	NA	0.06	NA	NA	0.31
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Rauvolfia	tetraphylla	38	49	APOCYNAC	Rauvolfi	tetraphy	RTET	Mammals		NTAmerica	Berry2	7.3	8.4	0.32	0.03	0.04	1.9	0.02	9.7	NA	NA	77.5	NA	NA	NA	NA	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Stemmadenia	donnell-smithi	4	27	APOCYNAC	Stemmade	donnell-	SDON	Mixed		NTAmerica	Aril	8.3	3.7	0.17	0.02	0.05	1	0.09	9.8	29.97	0.51	78.5	0.64	0.11	0.09	0.08	NA
