FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
CAPRIFOLIACEAE	Lonicera	etrusca	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Lonicera	implexa	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Lonicera	japonica	46	White, S.C. (1974)
CAPRIFOLIACEAE	Lonicera	periclymenum	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Lonicera	pyrenaica	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Lonicera	splendida	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Lonicera	tartarica	36	Sherburne, J.A. (1972)
CAPRIFOLIACEAE	Lonicera	utahensis	33	Piper, J.K. (1986)
CAPRIFOLIACEAE	Lonicera	xylosteum	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Sambucus	caerulea	33	Piper, J.K. (1986)
CAPRIFOLIACEAE	Sambucus	canadensis1	36	Sherburne, J.A. (1972)
CAPRIFOLIACEAE	Sambucus	canadensis2	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
CAPRIFOLIACEAE	Sambucus	ebulus	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Sambucus	gaudichaudiana	14	French, K. (1991)
CAPRIFOLIACEAE	Sambucus	nigra	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Sambucus	pubens	6	Denslow, J.S. (1987)
CAPRIFOLIACEAE	Sambucus	racemosa	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Sambucus	sp.1	46	White, S.C. (1974)
CAPRIFOLIACEAE	Sambucus	sp.2	46	White, S.C. (1974)
CAPRIFOLIACEAE	Symphoricarpos	orbicularis	46	White, S.C. (1974)
CAPRIFOLIACEAE	Viburnum	costaricanum	49	Herrera, C.M. and P. Jordano (unpubl. data)
CAPRIFOLIACEAE	Viburnum	dentatum1	36	Sherburne, J.A. (1972)
CAPRIFOLIACEAE	Viburnum	dentatum2	26	Levey, D.J. and W.H. Karasov (1989)
CAPRIFOLIACEAE	Viburnum	lantago	36	Sherburne, J.A. (1972)
CAPRIFOLIACEAE	Viburnum	lantana1	5	Debussche, M., J. Cortez and I. Rimbault (1987)
CAPRIFOLIACEAE	Viburnum	lantana2	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Viburnum	opulus1	36	Sherburne, J.A. (1972)
CAPRIFOLIACEAE	Viburnum	opulus2	17	Herrera, C.M. (1987)
CAPRIFOLIACEAE	Viburnum	tinus	17	Herrera, C.M. (1987)
CECROPIACEAE	Cecropia	eximia	46	White, S.C. (1974)
CECROPIACEAE	Cecropia	obtusa	2	Atramentowicz, M. (1988)
CECROPIACEAE	Cecropia	obtusifolia	11	Estrada, A., R. Coates-Estrada and C. V‡zquez-Yanes (1984)
CECROPIACEAE	Cecropia	palmata	2	Atramentowicz, M. (1988)
CECROPIACEAE	Cecropia	peltata1	11	Estrada, A., R. Coates-Estrada and C. V‡zquez-Yanes (1984)
CECROPIACEAE	Cecropia	peltata2	18	Hladik, A. and C.M. Hladik (1969)
CECROPIACEAE	Cecropia	scyalophilla	2	Atramentowicz, M. (1988)
CECROPIACEAE	Musanga	cecropioides	41	Sourd, C. and A. Gauthier-Hion (1986)
CECROPIACEAE	Myrianthus	holstii	8	Dowsett-Lemaire, F. (1988)
CELASTRACEAE	Cassine	aethiopica1	8	Dowsett-Lemaire, F. (1988)
CELASTRACEAE	Cassine	aethiopica2	43	Viljoen, S. (1983)
CELASTRACEAE	Celastrus	scandens	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
CELASTRACEAE	Euonymus	atropurpurea	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
CELASTRACEAE	Euonymus	europaeus1	17	Herrera, C.M. (1987)
CELASTRACEAE	Euonymus	europaeus2	5	Debussche, M., J. Cortez and I. Rimbault (1987)
CELASTRACEAE	Euonymus	sp.	28	McPherson, J.M. (1987)
CELASTRACEAE	Maytenus	acuminata	8	Dowsett-Lemaire, F. (1988)
CELASTRACEAE	Maytenus	heterophylla	8	Dowsett-Lemaire, F. (1988)
CELASTRACEAE	Salacia	kranssii	43	Viljoen, S. (1983)
CELASTRACEAE	Unident.Celas.1	SEGC56	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
CHRYSOBALANACEAE	Couepia	guianensis	2	Atramentowicz, M. (1988)
CHRYSOBALANACEAE	Hirtella	racemosa	49	Herrera, C.M. and P. Jordano (unpubl. data)
CHRYSOBALANACEAE	Licania	heteromorpha	2	Atramentowicz, M. (1988)
CHRYSOBALANACEAE	Parinari	campestris	2	Atramentowicz, M. (1988)
CHRYSOBALANACEAE	Parinari	curatellifolia1	8	Dowsett-Lemaire, F. (1988)
CHRYSOBALANACEAE	Parinari	curatellifolia2	43	Viljoen, S. (1983)
CHRYSOBALANACEAE	Parinari	excelsa	8	Dowsett-Lemaire, F. (1988)
CONNARACEAE	Cnestidium	rufescens	46	White, S.C. (1974)
CONNARACEAE	Connarus	panamensis	46	White, S.C. (1974)
CONNARACEAE	Rourea	glabra	46	White, S.C. (1974)
CONNARACEAE	Rourea	pinnata	8	Dowsett-Lemaire, F. (1988)
CORNACEAE	Afrocrania	volkensii	8	Dowsett-Lemaire, F. (1988)
CORNACEAE	Cornus	florida	46	White, S.C. (1974)
CORNACEAE	Cornus	racemosa1	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
CORNACEAE	Cornus	racemosa2	26	Levey, D.J. and W.H. Karasov (1989)
CORNACEAE	Cornus	racemosa3	36	Sherburne, J.A. (1972)
CORNACEAE	Cornus	sanguinea	17	Herrera, C.M. (1987)
CORNACEAE	Cornus	stolonifera	33	Piper, J.K. (1986)
CORYNOCARPACEAE	Corynocarpus	laevigatus	47	Williams, C.K. (1982)
CUCURBITACEAE	Bryonia	dioica	17	Herrera, C.M. (1987)
CUCURBITACEAE	Cayaponia	cf.Ophtalmica	9	Erard, C., M. Thery and D. Sabatier (1989)
CUCURBITACEAE	Cayaponia	racemosa	9	Erard, C., M. Thery and D. Sabatier (1989)
CUCURBITACEAE	Cayaponia	selysioides	9	Erard, C., M. Thery and D. Sabatier (1989)
CUCURBITACEAE	Citrullus	vulgaris	43	Viljoen, S. (1983)
CUCURBITACEAE	Coccinia	adoensis	43	Viljoen, S. (1983)
CYCLANTHACEAE	Asplundia	vagans	7	Dinerstein, E. (1986)
CYCLANTHACEAE	Carludovica	palmata	48	Worthington, A.H. (1989)
