FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
ROSACEAE	Crataegus	calycina	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Crataegus	douglasii	33	Piper, J.K. (1986)
ROSACEAE	Crataegus	laciniata	17	Herrera, C.M. (1987)
ROSACEAE	Crataegus	laevigata	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Crataegus	monogyna	17	Herrera, C.M. (1987)
ROSACEAE	Fragaria	vesca	17	Herrera, C.M. (1987)
ROSACEAE	Hesperomeles	obovata	49	Herrera, C.M. and P. Jordano (unpubl. data)
ROSACEAE	Malus	sp.1	28	McPherson, J.M. (1987)
ROSACEAE	Malus	sp.2	28	McPherson, J.M. (1987)
ROSACEAE	Malus	sylvestris	17	Herrera, C.M. (1987)
ROSACEAE	Photinia	serrulata	28	McPherson, J.M. (1987)
ROSACEAE	Prunus	africana	8	Dowsett-Lemaire, F. (1988)
ROSACEAE	Prunus	avium1	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Prunus	avium2	17	Herrera, C.M. (1987)
ROSACEAE	Prunus	carolini	28	McPherson, J.M. (1987)
ROSACEAE	Prunus	cerasus	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Prunus	cornifol	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
ROSACEAE	Prunus	emargina	33	Piper, J.K. (1986)
ROSACEAE	Prunus	mahaleb	17	Herrera, C.M. (1987)
ROSACEAE	Prunus	padus1	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Prunus	padus2	17	Herrera, C.M. (1987)
ROSACEAE	Prunus	pennsylv	46	White, S.C. (1974)
ROSACEAE	Prunus	prostrat	17	Herrera, C.M. (1987)
ROSACEAE	Prunus	rambouri	17	Herrera, C.M. (1987)
ROSACEAE	Prunus	serotina	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
ROSACEAE	Prunus	spinosa	17	Herrera, C.M. (1987)
ROSACEAE	Prunus	turnerana1	46	White, S.C. (1974)
ROSACEAE	Prunus	turnerana2	4	Crome, F.H.J. (1975)
ROSACEAE	Prunus	virginiana	36	Sherburne, J.A. (1972)
ROSACEAE	Pyracantha	cocciniea	28	McPherson, J.M. (1987)
ROSACEAE	Pyrus	amygdaliformis	5	Debussche, M., J. Cortez and I. Rimbault (1987)
ROSACEAE	Pyrus	bourgaeana	17	Herrera, C.M. (1987)
ROSACEAE	Rosa	canina	17	Herrera, C.M. (1987)
ROSACEAE	Rosa	dumalis	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Rosa	gymnocarpa	33	Piper, J.K. (1986)
ROSACEAE	Rosa	multiflora	36	Sherburne, J.A. (1972)
ROSACEAE	Rosa	sect.synstylae	5	Debussche, M., J. Cortez and I. Rimbault (1987)
ROSACEAE	Rosa	sp.1	17	Herrera, C.M. (1987)
ROSACEAE	Rosa	sp.2	17	Herrera, C.M. (1987)
ROSACEAE	Rosa	sp.3	17	Herrera, C.M. (1987)
ROSACEAE	Rosa	sp.4	17	Herrera, C.M. (1987)
ROSACEAE	Rosa	villosa	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Rubus	allegheniensis	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
ROSACEAE	Rubus	ellipticus	8	Dowsett-Lemaire, F. (1988)
ROSACEAE	Rubus	idaeus	17	Herrera, C.M. (1987)
ROSACEAE	Rubus	parviflorus1	14	French, K. (1991)
ROSACEAE	Rubus	parviflorus2	33	Piper, J.K. (1986)
ROSACEAE	Rubus	rosaefolia	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
ROSACEAE	Rubus	saxatilis	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Rubus	sp.1	49	Herrera, C.M. and P. Jordano (unpubl. data)
ROSACEAE	Rubus	ulmifolius	17	Herrera, C.M. (1987)
ROSACEAE	Rubus	ursinus	46	White, S.C. (1974)
ROSACEAE	Sorbus	americana	46	White, S.C. (1974)
ROSACEAE	Sorbus	aria	17	Herrera, C.M. (1987)
ROSACEAE	Sorbus	aucuparia	17	Herrera, C.M. (1987)
ROSACEAE	Sorbus	domestica	17	Herrera, C.M. (1987)
ROSACEAE	Sorbus	intermedia	10	Eriksson, O. and J. Ehrlen (1991)
ROSACEAE	Sorbus	latifolia	17	Herrera, C.M. (1987)
ROSACEAE	Sorbus	mougeotti	17	Herrera, C.M. (1987)
ROSACEAE	Sorbus	scopulina	33	Piper, J.K. (1986)
ROSACEAE	Sorbus	torminalis	17	Herrera, C.M. (1987)
RUBIACEAE	Aidia	aff.racemosa	31	O'Dowd, D.J. and P.S. Lake (1991)
RUBIACEAE	Amaioua	guianensis	9	Erard, C., M. Thery and D. Sabatier (1989)
RUBIACEAE	Antirhea	tenuiflora	4	Crome, F.H.J. (1975)
RUBIACEAE	Aulacocalyx	diervilloides	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Canthium	cf.Brevipes	3	Beehler, B. (1983)
RUBIACEAE	Canthium	coprosmoides	4	Crome, F.H.J. (1975)
RUBIACEAE	Canthium	gueinzii	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Chassalia	parviflora	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Coffea	ligustroides	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Coprosma	grandiflora	47	Williams, C.K. (1982)
RUBIACEAE	Coprosma	hirtella	14	French, K. (1991)
RUBIACEAE	Coprosma	quadrifida	14	French, K. (1991)
RUBIACEAE	Coussarea	austin-smithii	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
RUBIACEAE	Faramea	occidentalis	46	White, S.C. (1974)
RUBIACEAE	Galiniera	coffeoides	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Guettarda	macrantha	2	Atramentowicz, M. (1988)
RUBIACEAE	Hamelia	nodosa	46	White, S.C. (1974)
RUBIACEAE	Mussaenda	sp.1	41	Sourd, C. and A. Gauthier-Hion (1986)
RUBIACEAE	Nauclea	diderrichii	41	Sourd, C. and A. Gauthier-Hion (1986)
RUBIACEAE	Nertera	granadensis	49	Herrera, C.M. and P. Jordano (unpubl. data)
RUBIACEAE	Oxyanthus	speciosus	43	Viljoen, S. (1983)
RUBIACEAE	Palicourea	calophylla	9	Erard, C., M. Thery and D. Sabatier (1989)
RUBIACEAE	Palicourea	elliptica	48	Worthington, A.H. (1989)
RUBIACEAE	Pavetta	puberula	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
RUBIACEAE	Posoqueria	latifolia	2	Atramentowicz, M. (1988)
RUBIACEAE	Psychotria	deflexa	48	Worthington, A.H. (1989)
RUBIACEAE	Psychotria	ealaensis	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Psychotria	horizontalis	48	Worthington, A.H. (1989)
RUBIACEAE	Psychotria	limonensis	46	White, S.C. (1974)
RUBIACEAE	Psychotria	mahonii	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Psychotria	marginata1	46	White, S.C. (1974)
RUBIACEAE	Psychotria	marginata2	48	Worthington, A.H. (1989)
RUBIACEAE	Psychotria	vogeliana	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
RUBIACEAE	Psychotria	zombamontana	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Putoria	calabrica	17	Herrera, C.M. (1987)
RUBIACEAE	Relbunium	hypocarpium	49	Herrera, C.M. and P. Jordano (unpubl. data)
RUBIACEAE	Rubia	peregrina	17	Herrera, C.M. (1987)
RUBIACEAE	Rubia	tenuifolia	21	Izhaki, I. and U.N. Safriel (1989)
RUBIACEAE	Rutidea	fuscescens	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Rutidea	orientalis	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Rytigynia	adenodonta	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Tricalysia	acocantheroides	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Tricalysia	verdcourtiana	8	Dowsett-Lemaire, F. (1988)
RUBIACEAE	Unident.Rubi.1	species	49	Herrera, C.M. and P. Jordano (unpubl. data)
RUBIACEAE	Unident.Rubi.2	SEGC291	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
RUBIACEAE	Vangueria	infausta	43	Viljoen, S. (1983)
RUTACEAE	Acronychia	vestita	4	Crome, F.H.J. (1975)
RUTACEAE	Clausena	anisata	8	Dowsett-Lemaire, F. (1988)
RUTACEAE	Euodia	xanthoxyloides	4	Crome, F.H.J. (1975)
RUTACEAE	Stauranthus	sp.	37	Snow, B.K. (1977)
RUTACEAE	Teclea	natalensis	43	Viljoen, S. (1983)
RUTACEAE	Vepris	lanceolata	43	Viljoen, S. (1983)
RUTACEAE	Vepris	stolzii	8	Dowsett-Lemaire, F. (1988)
RUTACEAE	Vepris	undulata	15	Frost, P.G.H. (1980)
SANTALACEAE	Exocarpus	cupressiformis	14	French, K. (1991)
SANTALACEAE	Osyris	alba	17	Herrera, C.M. (1987)
SANTALACEAE	Osyris	lanceolata	8	Dowsett-Lemaire, F. (1988)
SANTALACEAE	Osyris	quadripartita	17	Herrera, C.M. (1987)
SAPINDACEAE	Allophylus	abyssinicus	8	Dowsett-Lemaire, F. (1988)
SAPINDACEAE	Allophylus	chaunostachys	8	Dowsett-Lemaire, F. (1988)
SAPINDACEAE	Blighia	unijugata	8	Dowsett-Lemaire, F. (1988)
SAPINDACEAE	Gambeya	africana	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
SAPINDACEAE	Gonophyllum	falcatum	4	Crome, F.H.J. (1975)
SAPINDACEAE	Pancovia	golungensis	43	Viljoen, S. (1983)
SAPINDACEAE	Paullinia	turbacensis	46	White, S.C. (1974)
SAPINDACEAE	Talisia	sp.	9	Erard, C., M. Thery and D. Sabatier (1989)
SAPINDACEAE	Tristiropsis	acutangula	31	O'Dowd, D.J. and P.S. Lake (1991)
SAPINDACEAE	Zanha	golungensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
SAPOTACEAE	Aningeria	adolfi-friedericii	8	Dowsett-Lemaire, F. (1988)
SAPOTACEAE	Bequaertiodendron	natalense	8	Dowsett-Lemaire, F. (1988)
SAPOTACEAE	Chrysophyllum	gorungosanum	8	Dowsett-Lemaire, F. (1988)
SAPOTACEAE	Chrysophyllum	viridifolium	43	Viljoen, S. (1983)
SAPOTACEAE	Manilkara	cf.Bidentata	9	Erard, C., M. Thery and D. Sabatier (1989)
SAPOTACEAE	Mastichodendron	capiri	49	Herrera, C.M. and P. Jordano (unpubl. data)
SAPOTACEAE	Microphilis	guianensis	9	Erard, C., M. Thery and D. Sabatier (1989)
SAPOTACEAE	Mimusops	caffra1	43	Viljoen, S. (1983)
SAPOTACEAE	Mimusops	caffra2	15	Frost, P.G.H. (1980)
SAPOTACEAE	Mimusops	obovata	43	Viljoen, S. (1983)
SAPOTACEAE	Planchonella	nitida	31	O'Dowd, D.J. and P.S. Lake (1991)
SAPOTACEAE	Planchonella	obvoidea	4	Crome, F.H.J. (1975)
SAPOTACEAE	Richardella	macrophylla	2	Atramentowicz, M. (1988)
SAPOTACEAE	Sideroxylon	inerme1	43	Viljoen, S. (1983)
SAPOTACEAE	Sideroxylon	inerme2	15	Frost, P.G.H. (1980)
SAPOTACEAE	Synsepalum	longechneatum	41	Sourd, C. and A. Gauthier-Hion (1986)
SCROPHULARIACEAE	Halleria	lucida	8	Dowsett-Lemaire, F. (1988)
SIMAROUBACEAE	Irvingia	gabonensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
SIMAROUBACEAE	Irvingia	grandifolia	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
SIMAROUBACEAE	Klainedoxa	gabonensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
SIMAROUBACEAE	Simarouba	amara1	9	Erard, C., M. Thery and D. Sabatier (1989)
SIMAROUBACEAE	Simarouba	amara2	2	Atramentowicz, M. (1988)
SIMAROUBACEAE	Simarouba	glauca	49	Herrera, C.M. and P. Jordano (unpubl. data)
SMILACACEAE	Smilax	aspera	17	Herrera, C.M. (1987)
SMILACACEAE	Smilax	hispida	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
SMILACACEAE	Smilax	lasioneura	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
SMILACACEAE	Smilax	laurifolia	46	White, S.C. (1974)
SMILACACEAE	Smilax	sp.	9	Erard, C., M. Thery and D. Sabatier (1989)
SOLANACEAE	Acnistus	arborescens	7	Dinerstein, E. (1986)
SOLANACEAE	Atropa	baetica	17	Herrera, C.M. (1987)
SOLANACEAE	Atropa	belladona1	17	Herrera, C.M. (1987)
SOLANACEAE	Atropa	belladona2	5	Debussche, M., J. Cortez and I. Rimbault (1987)
SOLANACEAE	Lycianthes	guianensis	9	Erard, C., M. Thery and D. Sabatier (1989)
SOLANACEAE	Lycianthes	multiflora	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
SOLANACEAE	Mandragora	autumnalis	17	Herrera, C.M. (1987)
SOLANACEAE	Solanum	accrescens	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	americanum	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
SOLANACEAE	Solanum	argenteum	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	brenesii	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	cf.Coriaceum	9	Erard, C., M. Thery and D. Sabatier (1989)
SOLANACEAE	Solanum	dulcamara1	17	Herrera, C.M. (1987)
SOLANACEAE	Solanum	dulcamara2	36	Sherburne, J.A. (1972)
SOLANACEAE	Solanum	mauritianum	43	Viljoen, S. (1983)
SOLANACEAE	Solanum	nigrum	17	Herrera, C.M. (1987)
SOLANACEAE	Solanum	nudum	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	ochraceo-ferrugineum	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	sp.2	49	Herrera, C.M. and P. Jordano (unpubl. data)
SOLANACEAE	Solanum	sp.3	49	Herrera, C.M. and P. Jordano (unpubl. data)
SOLANACEAE	Solanum	sp.c	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	storkii	49	Herrera, C.M. and P. Jordano (unpubl. data)
SOLANACEAE	Solanum	torvum1	4	Crome, F.H.J. (1975)
SOLANACEAE	Solanum	torvum2	8	Dowsett-Lemaire, F. (1988)
SOLANACEAE	Solanum	trizygum	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	umbellatum	7	Dinerstein, E. (1986)
SOLANACEAE	Solanum	viride	4	Crome, F.H.J. (1975)
SOLANACEAE	Witheringia	coccoloboidea	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
STERCULIACEAE	Cola	greenwayi	8	Dowsett-Lemaire, F. (1988)
STERCULIACEAE	Cola	lizae	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
STERCULIACEAE	Dombeya	torrida	8	Dowsett-Lemaire, F. (1988)
STRELITZIACEAE	Strelitzia	nicolai	15	Frost, P.G.H. (1980)
SYMPLOCACEAE	Symplocos	martinisensis	9	Erard, C., M. Thery and D. Sabatier (1989)
SYMPLOCACEAE	Symplocos	paucistamineus	4	Crome, F.H.J. (1975)
SYMPLOCACEAE	Symplocos	stawellii	4	Crome, F.H.J. (1975)
THYMELAEACEAE	Daphne	gnidium	17	Herrera, C.M. (1987)
THYMELAEACEAE	Daphne	laureola	17	Herrera, C.M. (1987)
THYMELAEACEAE	Daphne	oleoides	17	Herrera, C.M. (1987)
TILIACEAE	Grewia	flava	43	Viljoen, S. (1983)
TILIACEAE	Grewia	flavescens	43	Viljoen, S. (1983)
TILIACEAE	Grewia	occidentalis	43	Viljoen, S. (1983)
TILIACEAE	Grewia	retinervis	43	Viljoen, S. (1983)
TILIACEAE	Grewia	villosa	43	Viljoen, S. (1983)
ULMACEAE	Celtis	africana	8	Dowsett-Lemaire, F. (1988)
ULMACEAE	Celtis	australi	17	Herrera, C.M. (1987)
ULMACEAE	Celtis	gomphophylla	8	Dowsett-Lemaire, F. (1988)
ULMACEAE	Celtis	occidentalis	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
ULMACEAE	Celtis	sp.	28	McPherson, J.M. (1987)
ULMACEAE	Trema	orientalis1	15	Frost, P.G.H. (1980)
ULMACEAE	Trema	orientalis2	8	Dowsett-Lemaire, F. (1988)
ULMACEAE	Trema	orientalis3	43	Viljoen, S. (1983)
URTICACEAE	Urera	hypselodendron	8	Dowsett-Lemaire, F. (1988)
VERBENACEAE	Citharexylum	integerrimum	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
VERBENACEAE	Citharexylum	macradenium	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
VERBENACEAE	Clerodendrum	johnstoniii	8	Dowsett-Lemaire, F. (1988)
VERBENACEAE	Clerodendrum	quadrangulatum	8	Dowsett-Lemaire, F. (1988)
VERBENACEAE	Faradaya	splendida	4	Crome, F.H.J. (1975)
VERBENACEAE	Gmelina	fasciculiflora	4	Crome, F.H.J. (1975)
VERBENACEAE	Lantana	camara	46	White, S.C. (1974)
VERBENACEAE	Vitex	doniana	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
VISCACEAE	Dendrophtora	costaricensis	49	Herrera, C.M. and P. Jordano (unpubl. data)
VISCACEAE	Notothixos	subaureus	4	Crome, F.H.J. (1975)
VISCACEAE	Phoradendron	californicum	44	Walsberg, G.E. (1975)
VISCACEAE	Phoradendron	jenmanii	34	Restrepo, C. (1987)
VISCACEAE	Phoradendron	robustissimum	49	Herrera, C.M. and P. Jordano (unpubl. data)
VISCACEAE	Phoradendron	serotinum	28	McPherson, J.M. (1987)
VISCACEAE	Phoradendron	sp.1	46	White, S.C. (1974)
VISCACEAE	Viscum	album	17	Herrera, C.M. (1987)
VISCACEAE	Viscum	cruciatum	17	Herrera, C.M. (1987)
VISCACEAE	Viscum	nervosum	8	Dowsett-Lemaire, F. (1988)
VISCACEAE	Viscum	shirense	8	Dowsett-Lemaire, F. (1988)
VITACEAE	Cissus	dinklagei	41	Sourd, C. and A. Gauthier-Hion (1986)
VITACEAE	Cissus	hypoglauca1	3	Beehler, B. (1983)
VITACEAE	Cissus	hypoglauca2	4	Crome, F.H.J. (1975)
VITACEAE	Cissus	kilimandscharicum	8	Dowsett-Lemaire, F. (1988)
VITACEAE	Cissus	masukuense	8	Dowsett-Lemaire, F. (1988)
VITACEAE	Cissus	sicyoides	49	Herrera, C.M. and P. Jordano (unpubl. data)
VITACEAE	Cissus	sp.IF-10	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
VITACEAE	Cissus	sterculifolius	4	Crome, F.H.J. (1975)
VITACEAE	Cissus	vandenbrandeanum	8	Dowsett-Lemaire, F. (1988)
VITACEAE	Parthenocissus	quinquefolia	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
VITACEAE	Rhoicissus	tridentata	8	Dowsett-Lemaire, F. (1988)
VITACEAE	Vitis	aestivalis	36	Sherburne, J.A. (1972)
VITACEAE	Vitis	sp.	26	Levey, D.J. and W.H. Karasov (1989)
VITACEAE	Vitis	vinifera	17	Herrera, C.M. (1987)
VITACEAE	Vitis	vulpina	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
WINTERACEAE	Tasmannia	lanceolata	14	French, K. (1991)
ZINGIBERACEAE	Afromontanum	longipetiolatum	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
ZINGIBERACEAE	Afromontanum	sp.IF-1	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
ZINGIBERACEAE	Renealmia	strobilifera	46	White, S.C. (1974)
ZINGIBERACEAE	Unident.Zing.1	sp.	46	White, S.C. (1974)
ZINGIBERACEAE	Zingiber	sp.	32	Pannell, C.M. and M.J. Koziol (1987)
